violation_code,season,count
02A,Autumn,9
02F,Autumn,7
04C,Autumn,71
05H,Autumn,30
08C,Autumn,380
06F,Autumn,251
06E,Autumn,321
10D,Autumn,99
03E,Autumn,2
06H,Autumn,2
10F,Autumn,3158
09B,Autumn,166
10H,Autumn,263
10J,Autumn,3
04D,Autumn,4
02C,Autumn,15
05A,Autumn,6
02B,Autumn,869
10E,Autumn,134
04E,Autumn,13
04P,Autumn,1
05F,Autumn,18
02G,Autumn,862
06C,Autumn,998
02H,Autumn,139
06D,Autumn,1239
09D,Autumn,2
02D,Autumn,1
09A,Autumn,41
05C,Autumn,10
10A,Autumn,73
04F,Autumn,4
28-06,Autumn,49
10G,Autumn,343
,Autumn,54
06I,Autumn,1
08B,Autumn,80
04L,Autumn,908
03I,Autumn,13
05B,Autumn,2
09E,Autumn,88
06G,Autumn,2
10B,Autumn,1093
06B,Autumn,75
10C,Autumn,19
03A,Autumn,37
04J,Autumn,92
03C,Autumn,4
28-05,Autumn,19
09C,Autumn,280
04H,Autumn,322
04M,Autumn,393
06A,Autumn,306
10I,Autumn,10
05D,Autumn,183
04N,Autumn,1096
05E,Autumn,6
08A,Autumn,1913
02I,Autumn,14
04A,Autumn,451
03B,Autumn,8
04O,Autumn,23
04K,Autumn,134
04M,Spring,182
08C,Spring,352
05F,Spring,11
09A,Spring,44
09C,Spring,379
10I,Spring,56
08B,Spring,47
04A,Spring,372
10D,Spring,111
28-07,Spring,2
04K,Spring,167
04F,Spring,2
02G,Spring,829
03F,Spring,1
02I,Spring,14
10H,Spring,312
04D,Spring,8
02B,Spring,844
05H,Spring,22
05B,Spring,6
06E,Spring,309
03A,Spring,32
05C,Spring,6
09E,Spring,79
09B,Spring,170
04O,Spring,22
10A,Spring,72
04P,Spring,2
05A,Spring,5
05D,Spring,145
,Spring,76
06G,Spring,4
10J,Spring,29
06F,Spring,279
04L,Spring,988
09D,Spring,1
03I,Spring,3
10E,Spring,147
10G,Spring,281
06A,Spring,325
06C,Spring,944
04H,Spring,234
04N,Spring,281
28-05,Spring,16
04C,Spring,70
28-06,Spring,20
06D,Spring,1327
10B,Spring,1155
10C,Spring,16
02C,Spring,13
03E,Spring,1
04J,Spring,72
08A,Spring,1365
10F,Spring,3586
02A,Spring,12
02H,Spring,135
03B,Spring,6
04E,Spring,11
06B,Spring,64
03C,Spring,2
04P,Summer,2
04D,Summer,1
04E,Summer,4
10J,Summer,11
03A,Summer,20
09C,Summer,200
10E,Summer,123
06F,Summer,170
22G,Summer,1
04A,Summer,347
10B,Summer,921
04K,Summer,70
,Summer,60
09D,Summer,1
02I,Summer,10
02C,Summer,12
04L,Summer,534
04H,Summer,206
09E,Summer,50
06G,Summer,1
04F,Summer,2
02F,Summer,2
08A,Summer,1064
28-06,Summer,36
09A,Summer,33
28-07,Summer,1
10F,Summer,2371
05F,Summer,13
10D,Summer,79
04O,Summer,14
10I,Summer,20
06D,Summer,881
03E,Summer,2
06C,Summer,752
08B,Summer,37
05E,Summer,4
05H,Summer,28
08C,Summer,220
28-05,Summer,19
06E,Summer,188
05C,Summer,4
02A,Summer,2
04J,Summer,77
04C,Summer,40
10H,Summer,174
04N,Summer,569
10C,Summer,11
06B,Summer,37
02H,Summer,98
03I,Summer,3
10A,Summer,62
02B,Summer,509
18-11,Summer,2
09B,Summer,92
05D,Summer,127
02G,Summer,698
06A,Summer,202
05A,Summer,6
10G,Summer,231
03B,Summer,9
04M,Summer,168
08B,Winter,32
02I,Winter,10
02A,Winter,13
10F,Winter,2611
05H,Winter,15
08C,Winter,344
10H,Winter,246
03B,Winter,13
09E,Winter,73
03C,Winter,5
04L,Winter,1138
04P,Winter,1
04F,Winter,4
04O,Winter,21
04J,Winter,81
03A,Winter,34
10A,Winter,71
28-06,Winter,27
06F,Winter,259
02F,Winter,4
05E,Winter,5
09D,Winter,3
04E,Winter,13
04H,Winter,247
08A,Winter,1630
03E,Winter,2
06C,Winter,849
06G,Winter,6
06E,Winter,264
02G,Winter,751
06B,Winter,69
04N,Winter,492
28-05,Winter,19
06A,Winter,301
04I,Winter,1
05B,Winter,6
02D,Winter,2
03D,Winter,1
09A,Winter,45
10B,Winter,863
09B,Winter,198
04B,Winter,2
10E,Winter,110
03I,Winter,4
02C,Winter,9
05C,Winter,2
10D,Winter,111
04C,Winter,76
04D,Winter,9
05A,Winter,4
10C,Winter,14
10J,Winter,18
05D,Winter,176
04M,Winter,292
10I,Winter,35
04A,Winter,390
06D,Winter,1085
02H,Winter,141
09C,Winter,345
10G,Winter,285
04K,Winter,180
,Winter,34
05F,Winter,10
02B,Winter,862
